# Gwenedeg
àr	war
é	o
éc'h	oc'h
àrnezhe	warnezhe
diàr	diwar


# Unvaniañ
yaouankik	yaouankig
kantvet	kantved
hanterkantved	hanterkantvet
ugentved	ugentvet
ty	ti
moutik	moutig
stokholm	Stockholm
anezhe	anezho
hirie	hiriv
goût	gouzout
evid	evit


# Fr to Br
office	ofis
musique	muzik


# Fazioù Common voice
c'hoazhin	c'hoarzhin
million	milion
choari	c'hoari
bezaén	bezañ
hanterkanvedenn	hanterkantvedenn
brezhonek	brezhoneg
erwann	Erwan
nebuet	nebeut
france	Frañs
peseut	peseurt
vitale	vital
techout	tec'hout
ne reomp nemer sentiñ	ne reomp nemet sentiñ
er borioù pell	er broioù pell
aozadennn	aozadenn
emcihañs	emichañs
vrummenn	vrumenn
skinwell	skinwel
migon	mignon
taski	taksi
ecowatt	eko watt
c'houlzma	c'houlz ma
eo be tlakaet	eo bet lakaet
ao	aotrou
dim	dimezell
aeoc'h	aesoc'h
triugentved	triugentvet
maoc'h	emaoc'h
maomp	emaomp
penaoz	penaos
dilec'hiadennoù	dilerc'hiadennoù
ac'hanoch	ac'hanoc'h
c'whi	c'hwi
mille 	mil 
chwi	c'hwi
ar smic	ar SMIC
eit	evit
evt	evit
vbeethoven	Beethoven
skriviñ	skrivañ
warchoazh	warc'hoazh
llaer	laer
achu	echu
skzuizh	skuizh
bernn	benn
sonedagoù	sonadegoù
genoc'h	ganeoc'h
emezoc ’ h	emezoc'h
lenann	lenan
oar ke lenn	oar ket lenn
choant	c'hoant
R B I	RBI
gulennet	goulennet
klanv	klañv
enañ	ennañ
garom	garomp
neus	n'eus
meus	m'eus
M eus	m'eus
a rpaourkaezh	ar paourkaezh
½	hanter
Petr a	petra
I.V. 	itron Varia 
dwb	diwar benn
s.o. 	sellet ouzh 
Dime Square	*Dime *Square
Microsoft Corporation	Microsoft *Corporation
ar Mille-Clubs	ar *Mille *Clubs
Local Hero	*Local *Hero
enoet	enoeet
Alliance Française	*Alliance *Française
eizvedenn	eizhvedenn
aluletez	alumetez
dishoñjal	disoñjal
tonnenn	tonenn
kaondaonet	kondaonet
unnan	unan
c'houzhout	c'houzout
Outlook dija	*Outlook dija
a-bernn	a-benn
dd'ar	d'ar
e plis ar	e plij ar
diw wech	div wech
gwaneoc'h	ganeoc'h
dilhad sa sec'hañ	dilhad da sec'hañ
kentañ 'r bloaz	kentañ ar bloaz
hegaziñ	hegasiñ
hardiz	hardizh
No vo ket	ne vo ket
db.	diwar benn
gt Pzd	gant prezidant
dilamour	dilabour
brasenn	blasenn


# Anvioù
marie	Mari
stéphan	Stefan
catherine	Katrin
philippe	Filip
christian	Kristian
helen	Elen
hélène	Elen
helena	Elena
huelgoat	Uhelgoad
kambodjia	Kambodja
émile	Emil
maría	Maria
yannick	Yannig


télégramme	telegram
nozvat	noz vat
aotroù	aotrou
jug	chug
moneizh	moneiz
grenv	greñv
aman	amañ
dañvezioù	danvezioù
dañvez	danvez
emsalc'h	emzalc'h
stañk	stank
avañtur	avantur
seitekved	seitekvet
èl	evel
vel	evel
gete	gante
#gante	ganto
gouvezet	gouezet
awalc'h	a-walc'h
araok	a-raok
marmoused	marmouzed
diagnostics	diagnostiks
marc'hatmatoc'h	marc'hadmatoc'h
chigago	chicago
toud	tout
siezhvet	seizhvet
c'homlec'h	chomlec'h
neizhañ	neizhiañ
choulz 	 c'houlz
choant 	c'hoant 
virgulen	virgulenn
founnus	fonnus
vit	evit
vidon	evidon
dishenvel	disheñvel
adkemmeret	adkemeret
gwann	gwan
laret	lâret
brezoneg	brezhoneg
vousc'hoarz	vousc'hoarzh
vousc'hoarzin	vousc'hoarzhin

arru	erru
be'h	bec'h
pa'z	p'az
pa'n	p'an
pa'm	p'am
na'm	n'am
ne'm	n'em
ne'z	n'ez
ma'm	m'am
me'm	m'em
#me 'm eus	me'm eus
 'm eus	 m'eus
 'm oa	 m'oa
'moa 	m'oa 
 'noa 	 n'oa 

bzh	BZH
www	WWW
