wav_filename,wav_filesize,transcript
/data/TEDxSK/cut/815_tedxsk_female_467.wav,65676,dobrý deň prajem
/data/TEDxSK/cut/815_tedxsk_female_468.wav,118508,som veľmi rada že môžem byť medzi vami a že ma pozvali 
/data/TEDxSK/cut/815_tedxsk_female_469.wav,58892,na toto krásne podujatie 
/data/TEDxSK/cut/815_tedxsk_female_470.wav,92812,predchádzajúce video končilo že tak som si uvedomila
/data/TEDxSK/cut/815_tedxsk_female_471.wav,74828,a ja som si uvedomila že vám musím povedať 
/data/TEDxSK/cut/815_tedxsk_female_472.wav,94604,že budem síce hovoriť o mužskom pohlavnom hormóne
/data/TEDxSK/cut/815_tedxsk_female_473.wav,57548,ktorý sa volá testosterón 
/data/TEDxSK/cut/815_tedxsk_female_474.wav,126348,ale nebudem hovoriť o sexe ak sa nenahneváte 
/data/TEDxSK/cut/815_tedxsk_female_475.wav,110316,veľa skúseností a veľa dobrého z mojej vedeckej práce 
/data/TEDxSK/cut/815_tedxsk_female_476.wav,151276,a tá vedecká práca mi v podstate uľahčila veľmi život 
/data/TEDxSK/cut/815_tedxsk_female_477.wav,37132,začali sme 
/data/TEDxSK/cut/815_tedxsk_female_478.wav,175948,rozdielmi medzi mužmi a ženami z hľadiska testosterónových koncentrácií 
/data/TEDxSK/cut/815_tedxsk_female_479.wav,77260,a skončili sme hádam nie skončili 
/data/TEDxSK/cut/815_tedxsk_female_480.wav,66124,získala som poznanie že 
/data/TEDxSK/cut/815_tedxsk_female_481.wav,102540,život môže byť aj o tolerancii rozdielov 
/data/TEDxSK/cut/815_tedxsk_female_482.wav,140428,a preto sa môj život za tých dvadsať rokov myslím si že stal krajším 
/data/TEDxSK/cut/815_tedxsk_female_483.wav,79788,moje správanie je tolerantnejšie 
/data/TEDxSK/cut/815_tedxsk_female_484.wav,167084,a dokázala som pochopiť že v rozdielnosti je vlastne sila
/data/TEDxSK/cut/815_tedxsk_female_485.wav,95052,a spýtala by som sa vás
/data/TEDxSK/cut/815_tedxsk_female_486.wav,122444,ktorý z nich vám asociuje testosterón 
/data/TEDxSK/cut/815_tedxsk_female_487.wav,74892,myslím si že nikto by neváhal odpovedať 
/data/TEDxSK/cut/815_tedxsk_female_488.wav,45228,že ten ktorý je
/data/TEDxSK/cut/815_tedxsk_female_489.wav,70892,po vašej ľavej ruke 
/data/TEDxSK/cut/815_tedxsk_female_490.wav,86156,testosterón obvykle spájame 
/data/TEDxSK/cut/815_tedxsk_female_491.wav,178252,so svaly so svalmi s maskulinitou s takou nejakou troškou hrubosti 
/data/TEDxSK/cut/815_tedxsk_female_492.wav,99628,ktorý pokojne rozmýšľa o tom 
/data/TEDxSK/cut/815_tedxsk_female_493.wav,80620,ako vykonštruuje napríklad aeromobil
/data/TEDxSK/cut/815_tedxsk_female_494.wav,96236,práve o tom to je o čom ja chcem rozprávať 
/data/TEDxSK/cut/815_tedxsk_female_495.wav,206348,že testosterón je hormón ktorý formuje naše mozgové štruktúry 
/data/TEDxSK/cut/815_tedxsk_female_496.wav,230156,a ktorý je zodpovedný alebo spoluzodpovedný za to ako sa správame a ako myslíme 
/data/TEDxSK/cut/815_tedxsk_female_497.wav,77452,testosterón je signálna molekula
/data/TEDxSK/cut/815_tedxsk_female_498.wav,47372,je to molekula 
/data/TEDxSK/cut/815_tedxsk_female_499.wav,83628,ktorá signalizuje mužnosť 
/data/TEDxSK/cut/815_tedxsk_female_500.wav,93420,mužnosť alebo keď chcete maskulinitu 
/data/TEDxSK/cut/815_tedxsk_female_501.wav,89260,maskulinita je niečo 
/data/TEDxSK/cut/815_tedxsk_female_502.wav,119340,čo v nás vzbudzuje také klasické sterotypy ako 
/data/TEDxSK/cut/815_tedxsk_female_503.wav,151084,dominantnosť súťaživosť schopnosť ísť do rizika 
/data/TEDxSK/cut/815_tedxsk_female_504.wav,114540,ale aj systematickosť a akúsi takú 
/data/TEDxSK/cut/815_tedxsk_female_505.wav,122252,by som povedala sebavedomosť alebo sebavedomie 
/data/TEDxSK/cut/815_tedxsk_female_506.wav,122956,ale koncentrácia ce testosterónu v ženskom organizme je 
/data/TEDxSK/cut/815_tedxsk_female_507.wav,125420,viac ako desaťkrát nižšia ako u mužov 
/data/TEDxSK/cut/815_tedxsk_female_508.wav,193996,ženy vo svojej krvi majú viacej hormónov ktoré sa nazývajú ženské pohlavné hormóny 
/data/TEDxSK/cut/815_tedxsk_female_509.wav,54796,a sú to estrogény 
/data/TEDxSK/cut/815_tedxsk_female_510.wav,55084,tie nielen robia ženy
/data/TEDxSK/cut/815_tedxsk_female_511.wav,64044,dovolím si to povedať krajšími
/data/TEDxSK/cut/815_tedxsk_female_512.wav,89580,teda nielen nás robia krajšími 
/data/TEDxSK/cut/815_tedxsk_female_513.wav,102092,ale robia nás aj trošku jemnejšími 
/data/TEDxSK/cut/815_tedxsk_female_514.wav,24140,ženy 
/data/TEDxSK/cut/815_tedxsk_female_515.wav,120556,nepotrebujú samy sebe dokazovať že sú veľmi dobré 
/data/TEDxSK/cut/815_tedxsk_female_516.wav,142572,ženy sú jemnocitnejšie ženy majú viac empatie 
/data/TEDxSK/cut/815_tedxsk_female_517.wav,185996,ženy sa vedia lepšie postarať o starých ľudí aj o deti 
/data/TEDxSK/cut/815_tedxsk_female_518.wav,90412,ale nehovorili by sme pravdu
/data/TEDxSK/cut/815_tedxsk_female_519.wav,134732,keby sme povedali že ženy sú len veľmi feminínne 
/data/TEDxSK/cut/815_tedxsk_female_520.wav,101836,celé to spektrum má na svojich póloch
/data/TEDxSK/cut/815_tedxsk_female_521.wav,99020,feminínnych a maskulínnych jedincov 
/data/TEDxSK/cut/815_tedxsk_female_522.wav,185964,ale tí sa postupne ako prichádzame do stredu tej celej populácie 
/data/TEDxSK/cut/815_tedxsk_female_523.wav,261036,akosi tak zmiešavajú a tie veľmi jasné známky maskulinity a femininity sa stierajú 
/data/TEDxSK/cut/815_tedxsk_female_524.wav,70092,čiže je celkom možné že tu medzi nami 
/data/TEDxSK/cut/815_tedxsk_female_525.wav,110124,sedí žena ktorá má viac mužské myslenie
/data/TEDxSK/cut/815_tedxsk_female_526.wav,61804,ako priemerný muž 
/data/TEDxSK/cut/815_tedxsk_female_527.wav,122636,a že medzi nami sedí muž ktorý ma viac ženské myslenie
/data/TEDxSK/cut/815_tedxsk_female_528.wav,97996,ako priemerná žena a je to celkom v poriadku 
/data/TEDxSK/cut/815_tedxsk_female_529.wav,119436,a nie je to žiadna choroba všetko je to v rámci fyziológie 
/data/TEDxSK/cut/815_tedxsk_female_530.wav,182572,čiže testosterón z nás robí viac mužných jedincov 
