wav_filename,wav_filesize,transcript
common_voice_sk_32320752.wav,217772,harfistka hráčka na harfu harfeníčka
common_voice_sk_32698283.wav,110636,kroj odev dobový odev
common_voice_sk_27393218.wav,153260,kliešte kombinačky
common_voice_sk_28792822.wav,69164,kreslo
common_voice_sk_28792818.wav,108332,kňazský
common_voice_sk_32698317.wav,99116,lodný námornícky
common_voice_sk_32547516.wav,109484,majiteľ domu domáci
common_voice_sk_26751585.wav,150956,ovácie aplauz pocta potlesk v stoji
common_voice_sk_32547588.wav,148652,pracovné dni sú pondelok utorok streda štvrtok a piatok
common_voice_sk_26751592.wav,88748,organické hnojivo
common_voice_sk_26751589.wav,109484,originálny svojrázny svojský
common_voice_sk_28540433.wav,92204,kôň pri oji
common_voice_sk_28540431.wav,102572,kláves tlačidlo
common_voice_sk_28540447.wav,88748,dáma pani
common_voice_sk_24420131.wav,125612,opačný pôsobiaci opačne
common_voice_sk_24420130.wav,106028,fox rieka fox
common_voice_sk_32674715.wav,122156,oštep
common_voice_sk_32674716.wav,111788,beh
common_voice_sk_32674766.wav,95660,južná amerika
common_voice_sk_24420133.wav,82988,nespravodlivosť
common_voice_sk_28552541.wav,209708,list vrtule lopatka lodnej skrutky krídlo veterného mlyna
common_voice_sk_28552543.wav,73772,metóda
common_voice_sk_28552545.wav,68012,kefovanie
common_voice_sk_28552546.wav,88748,frfľoš hundroš
common_voice_sk_28753119.wav,54188,bursa
common_voice_sk_28753122.wav,62252,heterotrof
common_voice_sk_28753123.wav,69164,novgorod
common_voice_sk_25727426.wav,102572,budúcnosť
common_voice_sk_28753120.wav,92204,katolícky
common_voice_sk_25727427.wav,86444,kúpele
common_voice_sk_25727428.wav,114092,neschopnosť hovorenia
common_voice_sk_25727429.wav,190124,merací kábel merací vodič svorkový kábel
common_voice_sk_25960480.wav,109484,farmakológia
common_voice_sk_25960481.wav,74924,dcérsky
common_voice_sk_25960483.wav,66860,koľko stupňov je vonku
common_voice_sk_24982026.wav,116396,kosatka
common_voice_sk_24982033.wav,145196,živín potrebných k ich rastu
common_voice_sk_24982027.wav,256940,celkový súčet výsledná suma celkové množstvo celkový počet celkové príjmy celková čiastka
common_voice_sk_24449704.wav,74924,nadsemenníky
common_voice_sk_25960484.wav,70316,dlhohrajúci
common_voice_sk_24982035.wav,130220,bývam na slovensku v bratislave
common_voice_sk_24449708.wav,155564,hodnosť kapitána funkcia kapitána kapitánstvo
common_voice_sk_24449710.wav,108332,očná buľva buľva
common_voice_sk_24449712.wav,126764,ozdobovanie výzdoba ornamentika
common_voice_sk_28337226.wav,304172,octový kyslý
common_voice_sk_28337228.wav,103724,bolesť v krížoch
common_voice_sk_28337229.wav,223532,viditeľný preskúmateľný hodný videnia
common_voice_sk_28337230.wav,126764,apokalyptický prorocký
common_voice_sk_25891593.wav,101420,namáčanie namočenie
common_voice_sk_25891591.wav,144044,kombinácia usporiadanie zostavenie
common_voice_sk_25891594.wav,94508,mentálna reprezentácia
common_voice_sk_25891590.wav,111788,odsek paragraf
common_voice_sk_24981177.wav,133676,pamätný deň
common_voice_sk_25891596.wav,156716,emočný stav emočné rozpoloženie citový stav
common_voice_sk_24981179.wav,119852,vo forme kvádra alebo kocky
common_voice_sk_24981178.wav,245420,odstránenie vypovedanie zrušenie zákona odvolanie anulovanie derogácia zrušenie právnej normy
common_voice_sk_24981180.wav,141740,a nie viac ako desať mm
common_voice_sk_26751778.wav,149804,expres expresný dopravný prostriedok
